,reward,episode,name
0,-371.0,15,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
1,-128.0,30,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
2,28.0,45,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
3,-163.0,60,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
4,11.0,75,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
5,-504.0,90,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
6,-145.0,105,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
7,-233.0,120,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
8,-2.0,135,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
9,-386.0,150,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
10,225.0,165,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
11,-161.0,180,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
12,-123.0,195,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
13,15.0,210,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
14,135.0,225,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
15,408.0,240,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
16,227.0,255,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
17,189.0,270,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
18,133.0,285,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
19,-89.0,300,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
20,273.0,315,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
21,106.0,330,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
22,194.0,345,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
23,133.0,360,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
24,-276.0,375,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
25,156.0,390,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
26,-90.0,405,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
27,275.0,420,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
28,-84.0,435,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
29,200.0,450,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
30,49.0,465,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
31,133.0,480,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
32,223.0,495,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
33,205.0,510,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
34,161.0,525,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
35,31.0,540,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
36,150.0,555,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
37,61.0,570,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
38,108.0,585,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
39,342.0,600,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
40,325.0,615,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
41,554.0,630,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
42,227.0,645,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
43,98.0,660,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
44,213.0,675,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
45,450.0,690,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
46,528.0,705,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
47,85.0,720,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
48,332.0,735,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
49,372.0,750,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
50,332.0,765,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_128
