,reward,episode,name
0,-147.0,15,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
1,-180.0,30,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
2,-186.0,45,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
3,-225.0,60,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
4,-249.0,75,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
5,-47.0,90,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
6,-183.0,105,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
7,-306.0,120,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
8,82.0,135,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
9,224.0,150,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
10,-208.0,165,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
11,83.0,180,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
12,418.0,195,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
13,-256.0,210,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
14,2.0,225,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
15,-78.0,240,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
16,-69.0,255,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
17,163.0,270,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
18,166.0,285,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
19,-35.0,300,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
20,53.0,315,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
21,172.0,330,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
22,222.0,345,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
23,-135.0,360,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
24,189.0,375,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
25,127.0,390,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
26,294.0,405,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
27,29.0,420,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
28,-12.0,435,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
29,-37.0,450,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
30,321.0,465,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
31,185.0,480,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
32,304.0,495,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
33,433.0,510,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
34,450.0,525,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
35,463.0,540,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
36,36.0,555,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
37,591.0,570,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
38,223.0,585,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
39,377.0,600,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
40,539.0,615,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
41,409.0,630,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
42,538.0,645,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
43,516.0,660,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
44,444.0,675,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
45,240.0,690,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
46,165.0,705,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
47,468.0,720,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
48,180.0,735,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
49,255.0,750,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
50,187.0,765,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
51,425.0,780,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
52,619.0,795,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
53,546.0,810,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
54,491.0,825,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
55,294.0,840,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
56,782.0,855,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
57,642.0,870,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
58,945.0,885,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
59,377.0,900,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
60,541.0,915,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
61,669.0,930,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
62,332.0,945,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
63,686.0,960,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
64,588.0,975,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
65,539.0,990,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
66,828.0,1005,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
67,835.0,1020,4_lr_0.001_gamma_0.95_decay_rate_0.0009_layers_128_64_32
