,reward,episode,name
0,-165.0,25,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
1,-437.0,50,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
2,-262.0,75,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
3,-276.0,100,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
4,-20.0,125,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
5,-24.0,150,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
6,-475.0,175,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
7,-77.0,200,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
8,-469.0,225,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
9,33.0,250,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
10,-312.0,275,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
11,-190.0,300,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
12,127.0,325,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
13,-410.0,350,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
14,-174.0,375,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
15,-165.0,400,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
16,-240.0,425,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
17,-342.0,450,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
18,-329.0,475,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
19,-216.0,500,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
20,-199.0,525,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
21,50.0,550,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
22,-200.0,575,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
23,-302.0,600,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
24,-131.0,625,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
25,-95.0,650,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
26,35.0,675,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
27,-139.0,700,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
28,-216.0,725,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
29,-182.0,750,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
30,31.0,775,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
31,-142.0,800,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
32,-96.0,825,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
33,-84.0,850,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
34,-9.0,875,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
35,-243.0,900,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
36,-135.0,925,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
37,-99.0,950,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
38,75.0,975,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
39,202.0,1000,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
40,-158.0,1025,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
41,-264.0,1050,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
42,-46.0,1075,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
43,36.0,1100,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
44,-74.0,1125,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
45,-172.0,1150,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
46,-47.0,1175,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
47,302.0,1200,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
48,306.0,1225,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
49,414.0,1250,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
50,145.0,1275,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
51,123.0,1300,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
52,232.0,1325,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
53,258.0,1350,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
54,-162.0,1375,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
55,2.0,1400,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
56,-366.0,1425,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
57,237.0,1450,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
58,60.0,1475,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
59,-54.0,1500,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
60,188.0,1525,lr_0.005_gamma_0.95_decay_rate_0.0003_layers_32_32
